timestamp,src_ip,dst_ip,direction,protocol,src_port,dst_port,length
"('2025-03-22T04:07:28.461769',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.463776',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.465776',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.468061',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.471432',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.474433',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,508
"('2025-03-22T04:07:28.477432',)",142.251.222.35,192.168.0.64,-512,TCP,443,55090,54
"('2025-03-22T04:07:28.478937',)",142.251.222.35,192.168.0.64,-512,TCP,443,55090,54
"('2025-03-22T04:07:28.480943',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,75
"('2025-03-22T04:07:28.483958',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,986
"('2025-03-22T04:07:28.485941',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,163
"('2025-03-22T04:07:28.489942',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1285
"('2025-03-22T04:07:28.493030',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.495026',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.497027',)",192.168.0.64,172.217.26.227,-512,UDP,59072,443,73
"('2025-03-22T04:07:28.499027',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.500045',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.502026',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.503028',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.506030',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.510027',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.512028',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.514026',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.515027',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.517045',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.519554',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,545
"('2025-03-22T04:07:28.522555',)",172.217.26.227,192.168.0.64,-512,TCP,443,55084,60
"('2025-03-22T04:07:28.524556',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,74
"('2025-03-22T04:07:28.526577',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1285
"('2025-03-22T04:07:28.528560',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.530087',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.532069',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.534068',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.536070',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.537071',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.541585',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.543586',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.545587',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.546587',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.548583',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.550583',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.552584',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,545
"('2025-03-22T04:07:28.555587',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,74
"('2025-03-22T04:07:28.558807',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,74
"('2025-03-22T04:07:28.560805',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,65
"('2025-03-22T04:07:28.562806',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1288
"('2025-03-22T04:07:28.564805',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.566804',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.568807',)",192.168.0.64,172.217.26.227,-512,UDP,59072,443,77
"('2025-03-22T04:07:28.571813',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.574812',)",192.168.0.64,172.217.26.227,-512,UDP,59072,443,73
"('2025-03-22T04:07:28.576812',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.578814',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,75
"('2025-03-22T04:07:28.580812',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.582811',)",192.168.0.64,172.217.26.227,-512,UDP,59072,443,73
"('2025-03-22T04:07:28.583832',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,82
"('2025-03-22T04:07:28.586817',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.589813',)",142.251.222.35,192.168.0.64,-512,TCP,443,55090,1466
"('2025-03-22T04:07:28.591812',)",142.251.222.35,192.168.0.64,-512,TCP,443,55090,1466
"('2025-03-22T04:07:28.594812',)",142.251.222.35,192.168.0.64,-512,TCP,443,55090,1466
"('2025-03-22T04:07:28.596834',)",142.251.222.35,192.168.0.64,-512,TCP,443,55090,1204
"('2025-03-22T04:07:28.598814',)",192.168.0.64,142.251.222.35,-512,TCP,55090,443,54
"('2025-03-22T04:07:28.601813',)",192.168.0.64,142.251.222.35,-512,TCP,55090,443,128
"('2025-03-22T04:07:28.605330',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.609842',)",192.168.0.64,172.217.26.227,-512,UDP,59072,443,73
"('2025-03-22T04:07:28.611840',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1285
"('2025-03-22T04:07:28.612843',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.614841',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.616844',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.619842',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.622847',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.625841',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,74
"('2025-03-22T04:07:28.627840',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.630256',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.632263',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.634262',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.636261',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.638769',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.642288',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.643288',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,538
"('2025-03-22T04:07:28.645306',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.647314',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.648819',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,74
"('2025-03-22T04:07:28.650834',)",192.168.0.64,172.217.26.227,-512,UDP,59072,443,73
"('2025-03-22T04:07:28.652837',)",142.250.207.10,192.168.0.64,-512,UDP,443,60607,82
"('2025-03-22T04:07:28.655834',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1285
"('2025-03-22T04:07:28.657832',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.659831',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.660848',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.662832',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.663851',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.666832',)",142.250.207.10,192.168.0.64,-512,UDP,443,60607,1292
"('2025-03-22T04:07:28.668833',)",142.250.207.10,192.168.0.64,-512,UDP,443,60607,1292
"('2025-03-22T04:07:28.670838',)",142.250.207.10,192.168.0.64,-512,UDP,443,60607,1292
"('2025-03-22T04:07:28.673838',)",142.250.207.10,192.168.0.64,-512,TCP,443,55088,54
"('2025-03-22T04:07:28.676862',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.678858',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.681839',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.683838',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.685841',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.688840',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.690846',)",142.250.207.10,192.168.0.64,-512,TCP,443,55088,54
"('2025-03-22T04:07:28.692845',)",142.250.207.10,192.168.0.64,-512,TCP,443,55088,54
"('2025-03-22T04:07:28.694845',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.696846',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,75
"('2025-03-22T04:07:28.698845',)",192.168.0.64,142.250.207.10,-512,UDP,60607,443,1292
"('2025-03-22T04:07:28.700846',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,961
"('2025-03-22T04:07:28.702846',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.704846',)",172.217.31.142,192.168.0.64,-512,TCP,443,55089,60
"('2025-03-22T04:07:28.707847',)",192.168.0.64,172.217.26.227,-512,UDP,59072,443,73
"('2025-03-22T04:07:28.709846',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.710845',)",142.251.222.35,192.168.0.64,-512,TCP,443,55090,66
"('2025-03-22T04:07:28.712845',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.715846',)",192.168.0.64,172.217.26.227,-512,UDP,59072,443,73
"('2025-03-22T04:07:28.716863',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,76
"('2025-03-22T04:07:28.718846',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.720845',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.722845',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.724865',)",192.168.0.64,172.217.26.227,-512,UDP,59072,443,73
"('2025-03-22T04:07:28.725869',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,471
"('2025-03-22T04:07:28.727846',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,531
"('2025-03-22T04:07:28.730101',)",142.250.207.3,192.168.0.64,-512,UDP,443,50599,991
"('2025-03-22T04:07:28.731101',)",142.250.207.3,192.168.0.64,-512,UDP,443,50599,163
"('2025-03-22T04:07:28.733100',)",142.250.207.3,192.168.0.64,-512,UDP,443,50599,69
"('2025-03-22T04:07:28.735100',)",142.250.207.3,192.168.0.64,-512,UDP,443,50599,1288
"('2025-03-22T04:07:28.737101',)",142.250.207.3,192.168.0.64,-512,UDP,443,50599,1292
"('2025-03-22T04:07:28.740112',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.743109',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.745111',)",142.250.207.3,192.168.0.64,-512,UDP,443,50599,1292
"('2025-03-22T04:07:28.747109',)",142.250.207.3,192.168.0.64,-512,UDP,443,50599,1288
"('2025-03-22T04:07:28.749617',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.750617',)",142.250.207.3,192.168.0.64,-512,UDP,443,50599,1292
"('2025-03-22T04:07:28.752621',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.755619',)",142.250.207.3,192.168.0.64,-512,UDP,443,50599,1292
"('2025-03-22T04:07:28.757617',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.759618',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,211
"('2025-03-22T04:07:28.761618',)",192.168.0.64,142.250.207.3,-512,UDP,50599,443,73
"('2025-03-22T04:07:28.763618',)",192.168.0.64,142.250.207.3,-512,UDP,50599,443,77
"('2025-03-22T04:07:28.764617',)",192.168.0.64,142.250.207.3,-512,UDP,50599,443,73
"('2025-03-22T04:07:28.766616',)",192.168.0.64,142.250.207.3,-512,UDP,50599,443,77
"('2025-03-22T04:07:28.767618',)",192.168.0.64,172.217.26.227,-512,UDP,59072,443,73
"('2025-03-22T04:07:28.769619',)",192.168.0.64,172.217.26.227,-512,UDP,59072,443,73
"('2025-03-22T04:07:28.772617',)",192.168.0.64,172.217.26.227,-512,UDP,59072,443,73
"('2025-03-22T04:07:28.774618',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,218
"('2025-03-22T04:07:28.776618',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,198
"('2025-03-22T04:07:28.778618',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,158
"('2025-03-22T04:07:28.780617',)",142.250.207.10,192.168.0.64,-512,UDP,443,60607,1292
"('2025-03-22T04:07:28.782619',)",142.250.207.10,192.168.0.64,-512,UDP,443,60607,1292
"('2025-03-22T04:07:28.783617',)",142.250.207.10,192.168.0.64,-512,UDP,443,60607,1292
"('2025-03-22T04:07:28.785618',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.787618',)",142.250.207.3,192.168.0.64,-512,UDP,443,50599,1292
"('2025-03-22T04:07:28.789625',)",142.250.207.3,192.168.0.64,-512,UDP,443,50599,1292
"('2025-03-22T04:07:28.792919',)",142.251.222.35,192.168.0.64,-512,TCP,443,55090,54
"('2025-03-22T04:07:28.794919',)",142.251.222.35,192.168.0.64,-512,TCP,443,55090,1014
"('2025-03-22T04:07:28.796919',)",192.168.0.64,142.250.207.10,-512,UDP,60607,443,81
"('2025-03-22T04:07:28.797918',)",192.168.0.64,142.250.207.3,-512,UDP,50599,443,73
"('2025-03-22T04:07:28.799922',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.801921',)",192.168.0.64,172.217.26.227,-512,UDP,59072,443,73
"('2025-03-22T04:07:28.803919',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.806920',)",142.250.207.3,192.168.0.64,-512,UDP,443,50599,1292
"('2025-03-22T04:07:28.809940',)",192.168.0.64,142.250.207.3,-512,UDP,50599,443,73
"('2025-03-22T04:07:28.811943',)",192.168.0.64,142.250.207.10,-512,UDP,60607,443,82
"('2025-03-22T04:07:28.813918',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,1292
"('2025-03-22T04:07:28.814920',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,89
"('2025-03-22T04:07:28.816919',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,273
"('2025-03-22T04:07:28.818919',)",142.250.207.3,192.168.0.64,-512,UDP,443,50599,1292
"('2025-03-22T04:07:28.820919',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
"('2025-03-22T04:07:28.823919',)",142.250.207.3,192.168.0.64,-512,UDP,443,50599,1292
"('2025-03-22T04:07:28.825919',)",172.217.26.227,192.168.0.64,-512,UDP,443,59072,1292
